Target_Ref,Target_Amount,Transaction_ID,Transaction_Amount,Description
4,62993.16016,SIPBZ24+01477,62993.16,Invoice SIVI24-01479
5,47537.01172,SIPBZ24+00805,47537.01,Invoice SIVI24-00808
3,6388.0,SIPBZ24+00886,1267.0,Invoice SIVI24-00892
3,6388.0,SIPBZ24+01258,5121.0,Invoice SIVI24-01268
2,6924.549805,SIPBZ24+00737,6924.55,Invoice SIVI24-00690
3,22255.96094,SIPBZ24+01009,4703.76,Invoice SIVI24-01015
3,22255.96094,SIPBZ24+01083,17552.2,Invoice SIVI24-01087
4,22600.0,SIPBZ24+01384,22600.0,Invoice SIVI24-01389
5,4444.319824,SIPBZ24+01620,4444.32,Invoice SIVI24-01629
6,40520.62109,SIPBZ24+00965,40520.62,Invoice SIVI24-00971
2,800.0,OPENSA_0232,300.0,Customer opening
2,800.0,SIPBZ24+01642,500.0,Invoice SIVI24-01648
4,25000.0,OPENSA_0194,2400.0,Customer opening
4,25000.0,SIPBZ24+01384,22600.0,Invoice SIVI24-01389
2,9312.240234,SIPBZ24+01609,9312.24,Invoice SIVI24-01616
3,49220.5,SIPBZ24+01623,49220.5,Invoice SIVI24-01633
4,22104.0,SIPBZ24+01625,22104.0,Invoice SIVI24-01607
6,12929.28027,SIPBZ24+01611,12929.28,Invoice SIVI24-01618
7,8028.959961,SIPBZ24+01600,2017.56,Invoice SIVI24-01606
7,8028.959961,SIPBZ24+01622,6011.4,Invoice SIVI24-01631
1,5000.0,OPENSA_0232,300.0,Customer opening
1,5000.0,SIPBZ24+00941,4700.0,Invoice SIVI24-00944
2,32213.25,SIPBZ24+00715,32213.25,Invoice SIVI24-00731
3,14729.40039,SIPBZ24+00366,14729.4,Invoice SIVI24-00365
4,1515.469971,SIPBZ24+01566,1515.47,Invoice SIVI24-01565
6,22600.0,SIPBZ24+01384,22600.0,Invoice SIVI24-01389
7,14320.2002,SIPBZ24+01615,14320.2,Invoice SIVI24-01624
5,25000.0,OPENSA_0194,2400.0,Customer opening
5,25000.0,SIPBZ24+01384,22600.0,Invoice SIVI24-01389
7,90000.0,SIPBZ24+01818,90000.0,Invoice SIVI24-01854
8,45000.0,SIPBZ24+01304,10860.37,Invoice SIVI24-01308
8,45000.0,SIPBZ24+01124,34139.63,Invoice SIVI24-01097
9,45000.0,SIPBZ24+01304,10860.37,Invoice SIVI24-01308
9,45000.0,SIPBZ24+01124,34139.63,Invoice SIVI24-01097
10,5000.0,OPENSA_0232,300.0,Customer opening
10,5000.0,SIPBZ24+00941,4700.0,Invoice SIVI24-00944
2,1867.280029,SIPBZ24+01452,1867.28,Invoice SIVI24-01457
3,6930.009766,SIPBZ24+01420,6930.01,Invoice SIVI24-01425
11,5000.0,OPENSA_0232,300.0,Customer opening
11,5000.0,SIPBZ24+00941,4700.0,Invoice SIVI24-00944
2,25.87999916,SIPBZ24+00618,24.84,Invoice SIVI24-00621
2,25.87999916,SIPBZ24+01927,1.04,Invoice SIVI24-01932
3,676.0,SIPBZ24+00630,159.4,Invoice SIVI24-00610
3,676.0,SIPBZ24+01811,516.6,Invoice SIVI24-01816
2,7574.660156,SIPBZ24+00808,7574.66,Invoice SIVI24-00812
3,12907.59961,SIPBZ24+01740,12907.6,Invoice SIVI24-01755
5,33848.33984,SIPBZ24+01597,33848.34,Invoice SIVI24-01601
10,30234.89063,SIPBZ24+01075,27515.2,Invoice SIVI24-01080
10,30234.89063,SIPBZ24+01589,2719.69,Invoice SIVI24-01589
9,12736.7998,SIPBZ24+00487,8063.12,Invoice SIVI24-00472
9,12736.7998,SIPBZ24+00924,4673.68,Invoice SIVI24-00932
11,16950.0,SIPBZ24+00880,2469.6,Invoice SIVI24-00885
11,16950.0,SIPBZ24+01494,14480.4,Invoice SIVI24-01497
9,12736.7998,SIPBZ24+00487,8063.12,Invoice SIVI24-00472
9,12736.7998,SIPBZ24+00924,4673.68,Invoice SIVI24-00932
11,16950.0,SIPBZ24+00880,2469.6,Invoice SIVI24-00885
11,16950.0,SIPBZ24+01494,14480.4,Invoice SIVI24-01497
2,14233.0,SIPBZ24+01479,5638.8,Invoice SIVI24-01481
2,14233.0,SIPBZ24+02085,8594.2,Invoice SIVI24-02087
7,5650.0,OPENSA_0235,900.0,Customer opening
7,5650.0,SIPBZ24+01970,4750.0,Invoice SIVI24-01973
5,42882.0,SIPBZ24+01368,21564.0,Invoice SIVI24-01373
5,42882.0,SIPBZ24+01672,21318.0,Invoice SIVI24-01735
4,1176.0,OPENSA_0230,888.0,Customer opening
4,1176.0,OPENSA_0238,288.0,Customer opening
2,10073.0,OPENSA_0407,2625.0,Customer opening
2,10073.0,PBZ-24-01124,7448.0,Invoice PBZ-24-01124
3,300.0,OPENSA_0232,300.0,Customer opening
2,10224.48047,SIPBZ24+01166,10224.48,Invoice SIVI24-01171
3,42723.0,SIPBZ24+01041,42723.0,Invoice SIVI24-01047
4,3767.580078,SIPBZ24+00828,3767.58,Invoice SIVI24-00832
5,1263.810059,SIPBZ24+01049,1263.81,Invoice SIVI24-01051
6,6195.040039,SIPBZ24+01040,6195.04,Invoice SIVI24-01046
7,17556.0,SIPBZ24+01048,17556.0,Invoice SIVI24-01050
9,33104.64063,PBZ-24-01234,14716.8,Invoice PBZ-24-01234
9,33104.64063,SIPBZ24+01037,18387.84,Invoice SIVI24-01042
10,22600.0,SIPBZ24+01384,22600.0,Invoice SIVI24-01389
11,13586.82031,SIPBZ24+00394,13586.82,Invoice SIVI24-00314
25,23600.0,SIPBZ24+00659,17511.2,Invoice SIVI24-00683
25,23600.0,SIPBZ24+01747,6088.8,Invoice SIVI24-01762
27,20320.0,SIPBZ24+01346,12839.27,Invoice SIVI24-01348
27,20320.0,SIPBZ24+02088,7480.73,Invoice SIVI24-02090
30,90000.0,SIPBZ24+01818,90000.0,Invoice SIVI24-01854
85,90000.0,SIPBZ24+01818,90000.0,Invoice SIVI24-01854
123,53340.0,SIPBZ24+00996,26670.0,Invoice SIVI24-01001
123,53340.0,SIPBZ24+00996,26670.0,Invoice SIVI24-01001
2,14716.7998,PBZ-24-01234,14716.8,Invoice PBZ-24-01234
3,6788.02002,SIPBZ24+00178,6788.02,Invoice SIVI24-00181
4,6844.589844,SIPBZ24+00441,6844.59,Invoice SIVI24-00449
5,11204.7002,SIPBZ24+00899,11204.7,Invoice SIVI24-00902
6,5002.080078,SIPBZ24+01246,5002.08,Invoice SIVI24-01254
7,27515.19922,SIPBZ24+01075,27515.2,Invoice SIVI24-01080
2,7686.600098,SIPBZ24+01155,7686.6,Invoice SIVI24-01167
3,69611.79688,SIPBZ24+00911,69611.8,Invoice SIVI24-00914
6,22302.40039,SIPBZ24+00723,17372.8,Invoice SIVI24-00740
6,22302.40039,SIPBZ24+00776,4929.6,Invoice SIVI24-00775
7,117460.8984,SIPBZ24+00708,35315.2,Invoice SIVI24-00724
7,117460.8984,SIPBZ24+00703,82145.7,Invoice SIVI24-00718
8,13633.75977,SIPBZ24+01008,13633.76,Invoice SIVI24-01014
9,376.9200134,SIPBZ24+01385,376.92,Invoice SIVI24-01390
11,7027.160156,SIPBZ24+00436,7027.16,Invoice SIVI24-00440
2,9191.0,SIPBZ24+01039,4553.64,Invoice SIVI24-01045
2,9191.0,SIPBZ24+01157,4637.36,Invoice SIVI24-01169
3,13525.59961,SIPBZ24+01086,13525.6,Invoice SIVI24-01091
4,4959.0,SIPBZ24+01050,4959.0,Invoice SIVI24-01054
5,60686.94922,SIPBZ24+01093,60686.95,Invoice SIVI24-01100
7,5037.879883,SIPBZ24+00422,5037.88,Invoice SIVI24-00420
8,16174.91992,SIPBZ24+01151,16174.92,Invoice SIVI24-01154
9,13406.24023,SIPBZ24+01254,13406.24,Invoice SIVI24-01263
3,11292.0,SIPBZ24+00513,6289.92,Invoice SIVI24-00529
3,11292.0,SIPBZ24+01246,5002.08,Invoice SIVI24-01254
2,25250.40039,SIPBZ24+00716,25250.4,Invoice SIVI24-00732
3,1489.560059,SIPBZ24+01288,1489.56,Invoice SIVI24-01282
4,145414.7969,SIPBZ24+00672,145414.8,Invoice SIVI24-00669
5,22321.0,SIPBZ24+01021,22321.0,Invoice SIVI24-01028
6,5002.080078,SIPBZ24+01246,5002.08,Invoice SIVI24-01254
7,6811.680176,SIPBZ24+01239,6811.68,Invoice SIVI24-01245
11,4886.759766,SIPBZ24+00870,4886.76,Invoice SIVI24-00879
2,20258.0,OPENSA_0194,2400.0,Customer opening
2,20258.0,SIPBZ24+00778,17858.0,Invoice SIVI24-00778
3,19796.13086,SIPBZ24+00321,19796.13,Invoice SIVI24-00315
4,8154.52002,SIPBZ24+01158,8154.52,Invoice SIVI24-01156
5,36755.0,SIPBZ24+01010,13338.44,Invoice SIVI24-01021
5,36755.0,SIPBZ24+01325,23416.56,Invoice SIVI24-01330
6,59055.44141,SIPBZ24+00665,32115.76,Invoice SIVI24-00659
6,59055.44141,SIPBZ24+01936,26939.68,Invoice SIVI24-01941
7,3425.159912,SIPBZ24+01240,3425.16,Invoice SIVI24-01246
8,22600.0,SIPBZ24+01384,22600.0,Invoice SIVI24-01389
10,119926.3984,SIPBZ24+00888,17871.2,Invoice SIVI24-00894
10,119926.3984,SIPBZ24+00838,102055.2,Invoice SIVI24-00853
2,1522.140015,SIPBZ24+01376,1522.14,Invoice SIVI24-01381
3,13623.91992,SIPBZ24+00995,6752.84,Invoice SIVI24-01000
3,13623.91992,SIPBZ24+01114,6871.08,Invoice SIVI24-01131
4,20777.75977,SIPBZ24+01152,20777.76,Invoice SIVI24-01155
5,17641.59961,SIPBZ24+01355,17641.6,Invoice SIVI24-01361
6,5035.799805,SIPBZ24+01176,5035.8,Invoice SIVI24-01181
7,21564.0,SIPBZ24+01368,21564.0,Invoice SIVI24-01373
8,16747.67969,SIPBZ24+01244,16747.68,Invoice SIVI24-01251
10,40418.30859,SIPBZ24+00667,40418.31,Invoice SIVI24-00661
6,3000.0,OPENSA_0194,2400.0,Customer opening
6,3000.0,OPENSA_0405,600.0,Customer opening
10,12280.0,PBZ-24-00797,3251.22,Invoice PBZ-24-00797
10,12280.0,SIPBZ24+01929,9028.78,Invoice SIVI24-01935
2,9971.519531,SIPBZ24+01481,9971.52,Invoice SIVI24-01483
3,3704.850098,SIPBZ24+01115,1829.31,Invoice SIVI24-01133
3,3704.850098,SIPBZ24+01221,1875.54,Invoice SIVI24-01235
4,45834.60156,SIPBZ24+01173,45834.6,Invoice SIVI24-01179
5,57310.39844,SIPBZ24+01171,57310.4,Invoice SIVI24-01175
6,17800.0,SIPBZ24+00891,4676.1,Invoice SIVI24-00881
6,17800.0,SIPBZ24+00885,13123.9,Invoice SIVI24-00891
8,4527.779785,SIPBZ24+01256,4527.78,Invoice SIVI24-01266
9,164756.9219,SIPBZ24+01506,164756.92,Invoice SIVI24-01511
3,18100.0,OPENSA_0234,612.0,Customer opening
3,18100.0,SIPBZ24+01492,17488.0,Invoice SIVI24-01495
10,50800.0,SIPBZ24+01592,46288.0,Invoice SIVI24-01596
10,50800.0,SIPBZ24+01973,4512.0,Invoice SIVI24-01978
15,5816.0,SIPBZ24+01781,515.6,Invoice SIVI24-01783
15,5816.0,SIPBZ24+01890,5300.4,Invoice SIVI24-01894
16,13249.0,SIPBZ24+01084,10139.85,Invoice SIVI24-01090
16,13249.0,SIPBZ24+01005,3109.15,Invoice SIVI24-00997
31,10148.0,SIPBZ24+01622,6011.4,Invoice SIVI24-01631
31,10148.0,SIPBZ24+01882,4136.6,Invoice SIVI24-01886
52,53340.0,SIPBZ24+00996,26670.0,Invoice SIVI24-01001
52,53340.0,SIPBZ24+00996,26670.0,Invoice SIVI24-01001
2,13864.33984,SIPBZ24+00280,13864.34,Invoice SIVI24-00249
3,28250.0,SIPBZ24+01529,28250.0,Invoice SIVI24-01534
4,12863.75977,SIPBZ24+01350,12863.76,Invoice SIVI24-01356
5,12922.08984,SIPBZ24+01272,7296.61,Invoice SIVI24-01017
5,12922.08984,SIPBZ24+01373,5625.48,Invoice SIVI24-01378
4,31893.0,OPENSA_0231,330.0,Customer opening
4,31893.0,SIPBZ24+00882,31563.0,Invoice SIVI24-00887
7,19233.0,PBZ-24-01234,14716.8,Invoice PBZ-24-01234
7,19233.0,SIPBZ24+01621,4516.2,Invoice SIVI24-01630
2,1500.0,OPENSA_0233,1500.0,Customer opening
2,6935.470215,SIPBZ24+00208,6935.47,Invoice SIVI24-00208
3,6537.899902,SCPBZ24+00030,-1213.52,Credit Memo SCVI24-00042
3,6537.899902,SIPBZ24+01698,7751.42,Invoice SIVI24-01697
4,1433.699951,SIPBZ24+01270,1433.7,Invoice SIVI24-01275
5,33622.94141,SIPBZ24+01247,33622.94,Invoice SIVI24-01249
6,68845.0,SIPBZ24+01251,68845.0,Invoice SIVI24-01260
7,500.0,SIPBZ24+01642,500.0,Invoice SIVI24-01648
8,13215.59961,PBZ-24-00868,-443.4,Credit Memo PBZ-24-00868
8,13215.59961,SIPBZ24+00951,13659.0,Invoice SIVI24-00953
10,9117.320313,SIPBZ24+01483,4539.36,Invoice SIVI24-01485
10,9117.320313,SIPBZ24+01503,4577.96,Invoice SIVI24-01506
11,4459.359863,SIPBZ24+01501,4459.36,Invoice SIVI24-01504
13,4207.839844,SIPBZ24+01255,4207.84,Invoice SIVI24-01265
14,91679.0,SIPBZ24+01038,91679.0,Invoice SIVI24-01044
6,39512.0,SIPBZ24+01745,22017.6,Invoice SIVI24-01760
6,39512.0,SIPBZ24+02003,17494.4,Invoice SIVI24-02006
9,8236.0,SIPBZ24+01130,7145.37,Invoice SIVI24-01107
9,8236.0,SIPBZ24+01576,1090.63,Invoice SIVI24-01575
10,8236.0,SIPBZ24+01130,7145.37,Invoice SIVI24-01107
10,8236.0,SIPBZ24+01576,1090.63,Invoice SIVI24-01575
2,42608.37109,SIPBZ24+00796,42608.37,Invoice SIVI24-00798
3,8661.599609,SIPBZ24+01150,4334.4,Invoice SIVI24-01153
3,8661.599609,SIPBZ24+01259,4327.2,Invoice SIVI24-01252
4,34388.19922,SIPBZ24+01352,34388.2,Invoice SIVI24-01358
6,9085.959961,SIPBZ24+00468,4072.32,Invoice SIVI24-00477
6,9085.959961,SIPBZ24+01399,5013.64,Invoice SIVI24-01404
8,13688.40039,SIPBZ24+01178,13688.4,Invoice SIVI24-01182
10,17564.64063,SIPBZ24+01491,17564.64,Invoice SIVI24-01494
14,20559.01953,SIPBZ24+01326,4706.37,Invoice SIVI24-01331
14,20559.01953,SIPBZ24+01462,15852.65,Invoice SIVI24-01467
15,6087.080078,SIPBZ24+01472,6087.08,Invoice SIVI24-01473
16,13750.0,SIPBZ24+01400,13750.0,Invoice SIVI24-01405
17,19264.36914,SIPBZ24+00968,4203.5,Invoice SIVI24-00975
17,19264.36914,SIPBZ24+01416,15060.87,Invoice SIVI24-01421
18,55362.35938,SIPBZ24+01479,5638.8,Invoice SIVI24-01481
18,55362.35938,SIPBZ24+01480,49723.56,Invoice SIVI24-01482
19,20055.59961,SIPBZ24+01505,20055.6,Invoice SIVI24-01508
20,92466.15625,SIPBZ24+01459,92466.16,Invoice SIVI24-01464
21,33494.42188,SIPBZ24+00764,33494.42,Invoice SIVI24-00762
7,8851.0,SIPBZ24+00967,7568.69,Invoice SIVI24-00973
7,8851.0,SIPBZ24+02028,1282.31,Invoice SIVI24-02033
16,39443.0,SIPBZ24+01164,17785.0,Invoice SIVI24-01163
16,39443.0,SIPBZ24+01408,21658.0,Invoice SIVI24-01413
5,5000.0,OPENSA_0232,300.0,Customer opening
5,5000.0,SIPBZ24+00941,4700.0,Invoice SIVI24-00944
6,5000.0,OPENSA_0232,300.0,Customer opening
6,5000.0,SIPBZ24+00941,4700.0,Invoice SIVI24-00944
2,31768.41016,SIPBZ24+01264,31768.41,Invoice SIVI24-01259
3,17856.96094,SIPBZ24+01172,17856.96,Invoice SIVI24-01177
4,80203.20313,SIPBZ24+01476,80203.2,Invoice SIVI24-01478
6,9576.660156,SIPBZ24+01604,4655.16,Invoice SIVI24-01611
6,9576.660156,SIPBZ24+01614,4921.5,Invoice SIVI24-01622
